"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 14-60D) - (no-vax)";"0";" -1.69737482";"   0.3137474";"Inf";"   -2.394462";"-1.000287e+00";"V3 14-60D";"no-vax";"237";"100110";"2440882";"12";"24823";" 682029";"6278.752";"6297.792";"167779";"0.0101502603";"cancer_dx_colorectal"
"(V3 60+) - (no-vax)";"0";" -1.98690394";"   0.1922565";"Inf";"   -2.414062";"-1.559746e+00";"V3 60+";"no-vax";"237";"100110";"2440882";"32";"19324";"1109020";"6278.752";"6297.792";"167779";"0.0101502603";"cancer_dx_colorectal"
"(V3 14-60D) - (no-vax)";"1";" -2.28506650";"   1.0191279";"Inf";"   -4.549377";"-2.075625e-02";"V3 14-60D";"no-vax";" 36";" 16421";" 395431";" 1";" 4053";" 109330";"6278.752";"6297.792";"167779";"0.0101502603";"cancer_dx_colorectal"
"(V3 60+) - (no-vax)";"1";" -0.89426286";"   0.3097826";"Inf";"   -1.582542";"-2.059842e-01";"V3 60+";"no-vax";" 36";" 16421";" 395431";"15";" 3048";" 181589";"6278.752";"6297.792";"167779";"0.0101502603";"cancer_dx_colorectal"
"(V3 14-60D) - (no-vax)";"0";" -1.71061149";"   0.3404896";"Inf";"   -2.467115";"-9.541078e-01";"V3 14-60D";"no-vax";"203";"110930";"2700340";"10";"27503";" 755187";"6140.196";"6159.236";"167779";"0.1785103796";"cancer_dx_lung"
"(V3 60+) - (no-vax)";"0";" -1.59820182";"   0.1753982";"Inf";"   -1.987904";"-1.208500e+00";"V3 60+";"no-vax";"203";"110930";"2700340";"41";"21402";"1234770";"6140.196";"6159.236";"167779";"0.1785103796";"cancer_dx_lung"
"(V3 14-60D) - (no-vax)";"1";" -1.81955732";"   0.5984403";"Inf";"   -3.149179";"-4.899357e-01";"V3 14-60D";"no-vax";" 70";"  5601";" 135973";" 3";" 1373";"  36172";"6140.196";"6159.236";"167779";"0.1785103796";"cancer_dx_lung"
"(V3 60+) - (no-vax)";"1";" -2.38728465";"   0.4274037";"Inf";"   -3.336895";"-1.437674e+00";"V3 60+";"no-vax";" 70";"  5601";" 135973";" 6";"  970";"  55839";"6140.196";"6159.236";"167779";"0.1785103796";"cancer_dx_lung"
"(V3 14-60D) - (no-vax)";"0";" -1.99367941";"   0.3386102";"Inf";"   -2.746008";"-1.241351e+00";"V3 14-60D";"no-vax";"264";"113082";"2745396";"10";"28070";" 770380";"6279.966";"6299.006";"167779";"0.0194400827";"cancer_dx_head_neck"
"(V3 60+) - (no-vax)";"0";" -1.76739337";"   0.1658623";"Inf";"   -2.135908";"-1.398879e+00";"V3 60+";"no-vax";"264";"113082";"2745396";"45";"21777";"1256366";"6279.966";"6299.006";"167779";"0.0194400827";"cancer_dx_head_neck"
